"","time","GNSS_ID","SV_ID","C","C_std","L","L_std","D","D_std","S","NLOS"
"37",126641.699999971,"GPS",29,23856408.0512275,0.64,125366274.393285,0.004,4086.737,0.256,46,0
"38",126641.699999971,"SBAS",120,39064556.5388105,0.64,205285625.593806,0.004,297.699,0.256,41,1
"39",126641.999999971,"GPS",12,19834576.9615479,0.32,104231395.100219,0.004,221.5212,0.128,49,0
"40",126641.999999971,"Glonass",20,19784507.8995604,2.56,105796666.173673,0.016,2215.634,1.024,45,0
"41",126641.999999971,"Glonass",2,22692827.5148955,20.48,121093275.461584,0.06,1261.156,4.096,32,1
"42",126641.999999971,"GPS",19,22636048.9823514,2.56,118953245.723433,0.012,-2783.094,1.024,46,0
"43",126641.999999971,"GPS",32,22234000.5724867,20.48,116840461.273804,0.06,640.3926,8.192,21,1
"44",126641.999999971,"Glonass",1,22681022.805149,20.48,121243086.300683,0.06,-2364.489,8.192,30,1
"45",126641.999999971,"Glonass",10,19093253.216786,0.64,101777836.208034,0.004,102.1755,0.256,45,0
"46",126641.999999971,"Glonass",21,22683425.5130044,10.24,121383628.237391,0.024,4779.096,4.096,38,0
"47",126641.999999971,"Glonass",19,20789637.0414484,0.64,111210584.677521,0.004,-2227.045,0.256,48,1
"48",126641.999999971,"GPS",14,22648944.7456117,40.96,119021007.382388,0.06,1602.471,16.384,23,1
"49",126641.999999971,"GPS",6,22844710.5891815,5.12,120049763.443301,0.02,1126.057,2.048,50,0
"50",126641.999999971,"Glonass",9,21642867.2047147,5.12,115409268.98243,0.06,-2949.802,2.048,35,1
"51",126641.999999971,"GPS",24,21265322.0590459,5.12,111749985.650571,0.016,-2221.428,1.024,41,0
"52",126641.999999971,"GPS",17,25078711.6240416,10.24,131789518.921642,0.024,-3109.725,4.096,35,1
"53",126641.999999971,"GPS",2,23477239.6993922,5.12,123373726.840201,0.06,2834.882,2.048,36,0
"54",126641.999999971,"GPS",25,21244025.1022201,20.48,111638104.929202,0.06,2511.509,8.192,21,1
"55",126641.999999971,"GPS",29,23856174.754904,0.64,125365048.485882,0.004,4085.602,0.256,46,0
"56",126641.999999971,"SBAS",120,39064539.712438,0.64,205285536.588225,0.004,297.1433,0.256,40,1
"57",126642.199999971,"GPS",12,19834568.3585905,0.32,104231350.751478,0.004,221.7419,0.128,49,0
"58",126642.199999971,"Glonass",20,19784425.1288151,1.28,105796223.038639,0.012,2215.248,0.512,47,0
"59",126642.199999971,"Glonass",2,22692778.5713973,10.24,121093013.883917,0.028,1262.786,4.096,28,1
"60",126642.199999971,"GPS",19,22636156.3142782,2.56,118953803.474665,0.016,-2781.141,1.024,48,0
"61",126642.199999971,"GPS",32,22233980.1033813,20.48,116840353.19573,0.06,640.3926,8.192,21,1
"62",126642.199999971,"Glonass",1,22681112.9660615,10.24,121243568.55342,0.06,-2366.609,8.192,34,1
"63",126642.199999971,"Glonass",10,19093249.3908257,0.64,101777815.786236,0.004,102.0925,0.256,46,0
"64",126642.199999971,"Glonass",21,22683246.8009619,10.24,121382677.468066,0.06,4782.91,4.096,36,0
"65",126642.199999971,"Glonass",19,20789720.4055011,1.28,111211030.124136,0.008,-2228.174,0.512,43,1
"66",126642.199999971,"GPS",14,22648886.2132189,40.96,119020699.888973,0.06,1602.471,16.384,22,1
"67",126642.199999971,"GPS",6,22844667.3257291,5.12,120049536.607738,0.02,1125.51,2.048,38,0
"68",126642.199999971,"Glonass",9,21642975.4876784,10.24,115409846.015106,0.06,-2950.392,2.048,36,1
"69",126642.199999971,"GPS",24,21265411.264559,5.12,111750489.878533,0.06,-2222.416,2.048,32,0
"70",126642.199999971,"GPS",17,25078827.8817548,10.24,131790129.293847,0.06,-3107.566,4.096,35,1
"71",126642.199999971,"GPS",2,23477133.732945,10.24,123373169.688381,0.028,2829.901,4.096,33,1
"72",126642.199999971,"GPS",25,21243930.3082747,20.48,111637607.235418,0.06,2503.274,8.192,21,1
"73",126642.199999971,"GPS",29,23856019.1905754,0.64,125364231.369197,0.004,4085.956,0.256,47,0
"74",126642.199999971,"SBAS",120,39064528.2912705,0.64,205285477.432071,0.004,295.8633,0.256,41,1
"75",126642.399999971,"GPS",12,19834559.90396,0.32,104231306.449588,0.004,221.5264,0.128,49,0
"76",126642.399999971,"Glonass",20,19784342.3929703,1.28,105795779.965465,0.012,2214.382,0.512,43,0
"77",126642.399999971,"GPS",19,22636262.7518813,2.56,118954359.993767,0.012,-2782.312,1.024,45,0
"78",126642.399999971,"GPS",32,22233960.9517673,20.48,116840252.453796,0.06,636.9233,8.192,21,1
"79",126642.399999971,"Glonass",1,22681203.4323529,10.24,121244051.492325,0.028,-2354.138,4.096,34,1
"80",126642.399999971,"Glonass",10,19093245.6259413,0.64,101777795.356753,0.004,102.6494,0.256,45,0
"81",126642.399999971,"Glonass",21,22683068.4640992,20.48,121381723.138968,0.06,4778.906,8.192,35,0
"82",126642.399999971,"Glonass",19,20789803.5601512,1.28,111211475.364737,0.008,-2227.545,0.512,45,0
"83",126642.399999971,"GPS",14,22648826.8214028,40.96,119020387.395558,0.06,1602.471,16.384,22,1
"84",126642.399999971,"GPS",6,22844624.0491892,5.12,120049311.622494,0.016,1125.456,2.048,47,0
"85",126642.399999971,"Glonass",9,21643088.8137549,10.24,115410451.198155,0.06,-2947.913,4.096,43,1
"86",126642.399999971,"GPS",24,21265499.4928599,10.24,111750953.933653,0.028,-2228.877,4.096,41,0
"87",126642.399999971,"GPS",17,25078945.5398479,10.24,131790747.462475,0.028,-3105.549,4.096,35,1
"88",126642.399999971,"GPS",2,23477022.2391413,10.24,123372584.298357,0.06,2840.479,4.096,35,1
"89",126642.399999971,"GPS",25,21243833.2545262,20.48,111637096.468783,0.06,2506.804,8.192,21,1
"90",126642.399999971,"GPS",29,23855863.7091353,0.64,125363414.426349,0.004,4084.924,0.256,47,0
"91",126642.399999971,"SBAS",120,39064517.1667567,0.64,205285418.489027,0.004,294.5422,0.256,39,1
"92",126642.599999971,"GPS",12,19834551.6151066,0.32,104231262.149882,0.004,221.458,0.128,50,0
"93",126642.599999971,"Glonass",20,19784259.4564479,1.28,105795337.004918,0.008,2214.144,0.512,46,0
"94",126642.599999971,"Glonass",2,22692676.7755521,20.48,121092470.969595,0.06,1276.353,8.192,32,1
"95",126642.599999971,"GPS",19,22636367.9941445,2.56,118954916.459227,0.012,-2779.91,1.024,42,0
"96",126642.599999971,"GPS",32,22233940.7007896,20.48,116840146.933731,0.06,613.8464,8.192,22,1
"97",126642.599999971,"Glonass",1,22681295.8792439,10.24,121244546.416107,0.06,-2359.699,4.096,34,1
"98",126642.599999971,"Glonass",10,19093241.8348815,0.64,101777774.941912,0.004,102.1868,0.256,45,0
"99",126642.599999971,"Glonass",21,22682890.3104637,20.48,121380769.773484,0.06,4776.123,8.192,38,0
"100",126642.599999971,"Glonass",19,20789886.8980285,1.28,111211920.436072,0.012,-2224.347,0.512,44,0
"101",126642.599999971,"GPS",14,22648767.4688497,40.96,119020075.902143,0.06,1602.471,16.384,22,1
"102",126642.599999971,"GPS",6,22844580.6025095,2.56,120049086.535125,0.016,1124.989,1.024,49,0
"103",126642.599999971,"Glonass",9,21643197.9954048,10.24,115411032.884808,0.028,-2946.523,4.096,46,1
"104",126642.599999971,"GPS",24,21265585.2039669,10.24,111751399.265354,0.028,-2226.809,2.048,35,0
"105",126642.599999971,"GPS",17,25079064.2754919,10.24,131791368.814198,0.028,-3111.701,4.096,35,1
"106",126642.599999971,"GPS",2,23476905.248519,10.24,123371969.595875,0.028,2836.642,4.096,41,1
"107",126642.599999971,"GPS",25,21243738.6176329,20.48,111636599.697072,0.06,2494.429,8.192,21,1
"108",126642.599999971,"GPS",29,23855708.3367591,0.64,125362597.585975,0.004,4084.198,0.256,47,0
"109",126642.599999971,"SBAS",120,39064506.0684182,1.28,205285359.557637,0.008,293.335,0.512,41,1
"110",126642.799999971,"GPS",12,19834543.3218906,0.32,104231217.893116,0.004,220.8926,0.128,49,0
"111",126642.799999971,"Glonass",20,19784176.7206031,1.28,105794894.009681,0.008,2213.962,0.512,46,0
"112",126642.799999971,"Glonass",2,22692626.1132075,20.48,121092200.148353,0.06,1265.508,8.192,32,1
"113",126642.799999971,"GPS",19,22636474.7720268,2.56,118955473.07443,0.016,-2782.058,1.024,51,0
"114",126642.799999971,"GPS",32,22233916.9815812,20.48,116840022.18202,0.06,628.5747,8.192,22,1
"115",126642.799999971,"Glonass",1,22681386.973743,10.24,121245033.200339,0.06,-2361.459,4.096,30,1
"116",126642.799999971,"Glonass",10,19093237.9478455,0.64,101777754.562493,0.004,101.7395,0.256,45,0
"117",126642.799999971,"Glonass",21,22682712.5494582,20.48,121379818.604734,0.06,4800.098,8.192,38,0
"118",126642.799999971,"Glonass",19,20789970.087579,2.56,111212365.76121,0.012,-2224.933,1.024,38,0
"119",126642.799999971,"GPS",14,22648709.4686885,40.96,119019771.408728,0.06,1602.471,16.384,22,1
"120",126642.799999971,"GPS",6,22844537.6226232,5.12,120048854.862661,0.06,1124.512,2.048,45,0
"121",126642.799999971,"Glonass",9,21643305.9555394,10.24,115411622.879575,0.028,-2947.382,2.048,47,1
"122",126642.799999971,"GPS",24,21265664.550107,10.24,111751821.31003,0.06,-2234.082,4.096,39,0
"123",126642.799999971,"GPS",17,25079181.7983459,10.24,131791989.808749,0.06,-3107.474,4.096,32,1
"124",126642.799999971,"GPS",2,23476792.0576817,10.24,123371374.766181,0.024,2839.34,4.096,45,1
"125",126642.799999971,"GPS",25,21243644.1596042,20.48,111636103.400644,0.06,2513.461,8.192,21,1
"126",126642.799999971,"GPS",29,23855552.9512953,0.64,125361780.87567,0.004,4083.295,0.256,46,0
"127",126642.799999971,"SBAS",120,39064494.7999401,1.28,205285300.682376,0.008,292.4897,0.512,41,1
"128",126642.999999971,"GPS",12,19834534.7058456,0.32,104231173.606439,0.004,221.3833,0.128,49,0
"129",126642.999999971,"Glonass",20,19784094.0196586,1.28,105794451.132179,0.008,2215.094,0.512,42,0
"130",126642.999999971,"Glonass",2,22692577.6583153,20.48,121091942.524292,0.06,1249.042,8.192,32,1
"131",126642.999999971,"GPS",19,22636582.178117,2.56,118956029.451317,0.012,-2782.805,1.024,49,0
"132",126642.999999971,"GPS",32,22233898.8769803,20.48,116839926.424699,0.06,649.2844,8.192,22,1
"133",126642.999999971,"Glonass",1,22681474.4211467,10.24,121245500.003406,0.06,-2357.832,4.096,34,1
"134",126642.999999971,"Glonass",10,19093233.9386579,0.32,101777734.171629,0.004,101.5325,0.128,45,0
"135",126642.999999971,"Glonass",21,22682535.8441908,20.48,121378873.20917,0.06,4799.854,8.192,33,0
"136",126642.999999971,"Glonass",19,20790053.8268114,2.56,111212811.420611,0.02,-2222.937,1.024,43,0
"137",126642.999999971,"GPS",14,22648649.8238442,40.96,119019457.915313,0.06,1602.471,16.384,22,1
"138",126642.999999971,"GPS",6,22844494.8783149,10.24,120048630.622856,0.06,1124.463,4.096,31,0
"139",126642.999999971,"Glonass",9,21643415.0586632,5.12,115412212.406547,0.032,-2945.369,2.048,42,1
"140",126642.999999971,"GPS",24,21265750.6058557,10.24,111752273.640471,0.028,-2227.979,4.096,43,0
"141",126642.999999971,"GPS",17,25079303.5048895,10.24,131792628.566034,0.06,-3117.503,4.096,31,1
"142",126642.999999971,"GPS",2,23476682.5619279,5.12,123370807.14382,0.024,2838.848,2.048,45,1
"143",126642.999999971,"GPS",25,21243552.7510012,20.48,111635622.275211,0.06,2504.574,8.192,21,1
"144",126642.999999971,"GPS",29,23855397.4785803,0.64,125360964.207383,0.004,4082.721,0.256,46,0
"145",126642.999999971,"SBAS",120,39064483.570725,1.28,205285241.877193,0.008,294.4277,0.512,41,1
"146",126643.299999971,"GPS",12,19834522.1067884,0.32,104231107.29261,0.004,220.8093,0.128,50,0
"147",126643.299999971,"Glonass",20,19783969.9878735,1.28,105793786.971676,0.008,2214.208,0.512,46,0
"148",126643.299999971,"Glonass",2,22692508.7168676,20.48,121091573.944287,0.06,1254.352,8.192,32,1
"149",126643.299999971,"GPS",19,22636741.8257966,2.56,118956864.026617,0.012,-2783.751,1.024,45,0
"150",126643.299999971,"GPS",32,22233866.999795,20.48,116839759.123892,0.06,628.0061,8.192,22,1
"151",126643.299999971,"Glonass",1,22681611.8285237,20.48,121246234.690948,0.06,-2376.563,8.192,35,1
"152",126643.299999971,"Glonass",10,19093228.2542495,0.32,101777703.638586,0.004,101.4875,0.128,45,0
"153",126643.299999971,"Glonass",21,22682267.0541244,20.48,121377434.766129,0.06,4765.527,8.192,34,0
"154",126643.299999971,"Glonass",19,20790180.0224236,2.56,111213479.200214,0.02,-2226.569,1.024,45,0
"155",126643.299999971,"GPS",14,22648560.247514,40.96,119018987.17519,0.06,1602.471,16.384,22,1
"156",126643.299999971,"GPS",6,22844430.735677,10.24,120048293.653077,0.06,1125.992,4.096,36,1
"157",126643.299999971,"Glonass",9,21643578.9990963,10.24,115413064.265322,0.06,-2951.318,4.096,38,0
"158",126643.299999971,"GPS",24,21265879.0481834,10.24,111752947.889628,0.06,-2222.119,4.096,38,0
"159",126643.299999971,"GPS",2,23476519.5158184,5.12,123369955.974711,0.016,2836.863,2.048,49,0
"160",126643.299999971,"GPS",25,21243417.6339652,20.48,111634912.767914,0.06,2512.835,8.192,21,1
"161",126643.299999971,"GPS",29,23855164.4789105,0.64,125359739.487037,0.004,4082.074,0.256,48,0
"162",126643.299999971,"SBAS",120,39064466.9537551,0.64,205285154.038284,0.004,291.719,0.256,41,1
"163",126643.499999971,"GPS",12,19834513.6303451,0.32,104231063.083266,0.004,221.6897,0.128,49,0
"164",126643.499999971,"Glonass",20,19783887.4178057,1.28,105793344.338368,0.008,2212.504,0.512,44,0
"165",126643.499999971,"GPS",19,22636847.2818249,2.56,118957420.191027,0.012,-2779.382,1.024,49,0
"166",126643.499999971,"GPS",32,22233848.6203532,20.48,116839663.02313,0.06,630.8621,8.192,23,1
"167",126643.499999971,"Glonass",1,22681700.2444145,20.48,121246708.005193,0.06,-2363.672,8.192,35,1
"168",126643.499999971,"Glonass",10,19093224.4719148,0.32,101777683.265269,0.004,101.4822,0.128,45,0
"169",126643.499999971,"Glonass",21,22682089.5374219,20.48,121376485.106563,0.06,4784.18,8.192,37,0
"170",126643.499999971,"Glonass",19,20790260.3152379,2.56,111213924.408634,0.02,-2224.561,1.024,43,0
"171",126643.499999971,"GPS",14,22648502.8188474,40.96,119018684.681775,0.06,1602.471,16.384,21,1
"172",126643.499999971,"GPS",6,22844386.0369443,10.24,120048058.766082,0.028,1128.461,4.096,42,1
"173",126643.499999971,"Glonass",9,21643689.0707073,10.24,115413651.189818,0.028,-2954.576,4.096,39,0
"174",126643.499999971,"GPS",24,21265960.239684,10.24,111753374.456069,0.028,-2237.281,4.096,35,0
"175",126643.499999971,"GPS",17,25079603.6442721,10.24,131794205.810697,0.06,-3135.613,4.096,31,1
"176",126643.499999971,"GPS",2,23476411.2066795,5.12,123369388.509061,0.016,2836.337,2.048,46,0
"177",126643.499999971,"GPS",25,21243328.380464,20.48,111634443.151951,0.06,2512.257,8.192,21,1
"178",126643.499999971,"GPS",29,23855009.1021717,0.64,125358923.148267,0.004,4081.537,0.256,47,0
"179",126643.499999971,"SBAS",120,39064455.763803,0.64,205285095.473765,0.004,293.4082,0.256,41,1
"180",126643.699999971,"GPS",12,19834505.4200177,0.32,104231018.892159,0.004,221.1963,0.128,50,0
"181",126643.699999971,"Glonass",20,19783804.6296102,1.28,105792901.592964,0.008,2213.016,0.512,45,0
"182",126643.699999971,"GPS",19,22636952.5284507,2.56,118957976.565598,0.016,-2782.586,1.024,40,0
"183",126643.699999971,"GPS",32,22233826.3756881,40.96,116839545.349725,0.06,662.1121,16.384,22,1
"184",126643.699999971,"Glonass",10,19093220.7070303,0.32,101777662.917749,0.004,101.9534,0.128,44,0
"185",126643.699999971,"Glonass",21,22681910.9126305,20.48,121375529.64036,0.06,4777.002,8.192,38,0
"186",126643.699999971,"Glonass",19,20790346.113596,2.56,111214369.493451,0.02,-2225.427,1.024,44,0
"187",126643.699999971,"GPS",14,22648447.2311788,40.96,119018393.18836,0.06,1602.471,16.384,21,1
"188",126643.699999971,"GPS",6,22844339.4884885,10.24,120047833.585352,0.024,1126.737,4.096,47,1
"189",126643.699999971,"Glonass",9,21643796.5422358,10.24,115414224.177006,0.06,-2943.408,4.096,44,0
"190",126643.699999971,"GPS",24,21266041.3395709,10.24,111753801.326933,0.06,-2223.096,4.096,40,1
"191",126643.699999971,"GPS",17,25079724.1903762,20.48,131794839.3436,0.06,-3145.047,8.192,31,1
"192",126643.699999971,"GPS",2,23476308.7259133,5.12,123368820.997796,0.016,2835.69,1.024,40,0
"193",126643.699999971,"GPS",25,21243236.3087527,20.48,111633959.327473,0.06,2516.992,8.192,21,1
"194",126643.699999971,"GPS",29,23854853.8083215,0.64,125358106.785064,0.004,4081.464,0.256,47,0
"195",126643.699999971,"SBAS",120,39064444.6872773,0.64,205285036.989061,0.004,291.8557,0.256,41,1
"196",126643.899999971,"GPS",12,19834496.8563233,0.32,104230974.609211,0.004,221.1628,0.128,49,0
"197",126643.899999971,"Glonass",20,19783721.8501398,1.28,105792458.869587,0.008,2213.111,0.512,46,0
"198",126643.899999971,"Glonass",2,22692361.9910743,20.48,121090791.039697,0.06,1260.622,8.192,32,1
"199",126643.899999971,"GPS",19,22637058.2636825,2.56,118958532.698167,0.012,-2780.714,1.024,47,0
"200",126643.899999971,"GPS",32,22233809.457702,20.48,116839456.480381,0.06,626.7891,8.192,23,1
"201",126643.899999971,"Glonass",10,19093216.6978428,0.32,101777642.465079,0.004,101.8523,0.128,44,0
"202",126643.899999971,"Glonass",21,22681731.9388349,20.48,121374571.542803,0.06,4768.213,8.192,38,0
"203",126643.899999971,"Glonass",19,20790429.8615535,2.56,111214814.457937,0.016,-2225.732,1.024,47,0
"204",126643.899999971,"GPS",14,22648387.9222513,40.96,119018081.694945,0.06,1602.471,16.384,21,1
"205",126643.899999971,"GPS",6,22844301.5255398,5.12,120047614.38391,0.02,1126.184,2.048,50,1
"206",126643.899999971,"Glonass",9,21643909.0743274,10.24,115414824.563641,0.028,-2948.552,2.048,48,0
"207",126643.899999971,"GPS",24,21266131.5702843,10.24,111754275.486185,0.06,-2226.953,4.096,39,1
"208",126643.899999971,"GPS",2,23476197.2146593,5.12,123368248.491961,0.06,2833.74,2.048,39,0
"209",126643.899999971,"GPS",25,21243142.771223,20.48,111633468.583474,0.06,2510.613,8.192,22,1
"210",126643.899999971,"GPS",29,23854698.3923198,0.64,125357290.358368,0.004,4081.976,0.256,46,0
"211",126643.899999971,"SBAS",120,39064433.5104128,0.64,205284978.385869,0.004,293.4487,0.256,41,1
"212",126644.099999971,"GPS",12,19834488.5325695,0.32,104230930.405263,0.004,220.686,0.128,50,0
"213",126644.099999971,"Glonass",20,19783639.0706694,1.28,105792016.278463,0.008,2212.544,0.512,44,0
"214",126644.099999971,"Glonass",2,22692312.5502449,20.48,121090526.930329,0.06,1275.267,8.192,32,1
"215",126644.099999971,"GPS",19,22637164.0643527,2.56,118959088.989984,0.012,-2779.642,1.024,45,0
"216",126644.099999971,"GPS",32,22233791.6846553,20.48,116839363.396045,0.06,651.5454,8.192,23,1
"217",126644.099999971,"Glonass",10,19093212.9765839,0.64,101777622.095526,0.004,101.6909,0.256,44,0
"218",126644.099999971,"Glonass",21,22681554.2301799,20.48,121373620.13091,0.06,4774.854,8.192,35,0
"219",126644.099999971,"Glonass",19,20790513.9410651,2.56,111215259.637344,0.012,-2225.653,1.024,43,0
"220",126644.099999971,"GPS",14,22648325.9827034,40.96,119017756.20153,0.06,1602.471,16.384,21,1
"221",126644.099999971,"GPS",6,22844254.3706889,5.12,120047389.399057,0.016,1123.838,2.048,47,1
"222",126644.099999971,"Glonass",9,21644021.5104429,10.24,115415424.186195,0.06,-2947.559,4.096,42,0
"223",126644.099999971,"GPS",24,21266209.363355,10.24,111754684.22826,0.032,-2229.682,4.096,39,1
"224",126644.099999971,"GPS",17,25079954.5158001,20.48,131796050.524055,0.06,-3113.044,8.192,34,1
"225",126644.099999971,"GPS",2,23476087.509503,10.24,123367671.722602,0.028,2840.96,4.096,43,0
"226",126644.099999971,"GPS",25,21243050.1454673,20.48,111632981.895574,0.06,2516.021,8.192,22,1
"227",126644.099999971,"GPS",29,23854543.0373938,0.64,125356474.010575,0.004,4082.129,0.256,46,0
"228",126644.099999971,"SBAS",120,39064422.3771739,0.64,205284919.977823,0.004,292.4985,0.256,41,1
"229",126644.299999971,"GPS",12,19834480.1302896,0.32,104230886.215046,0.004,220.7966,0.128,49,0
"230",126644.299999971,"Glonass",20,19783556.0817964,1.28,105791573.631945,0.008,2211.114,0.512,43,0
"231",126644.299999971,"Glonass",2,22692262.6033592,10.24,121090260.697429,0.06,1277.352,8.192,31,1
"232",126644.299999971,"GPS",19,22637269.8955607,1.28,118959645.317147,0.012,-2782.523,0.512,46,0
"233",126644.299999971,"GPS",32,22233772.6857307,20.48,116839263.112427,0.06,625.9045,8.192,23,1
"234",126644.299999971,"Glonass",10,19093209.1942492,0.64,101777601.78646,0.004,101.9778,0.256,44,0
"235",126644.299999971,"Glonass",21,22681377.7779407,20.48,121372676.617162,0.06,4782.764,8.192,38,0
"236",126644.299999971,"Glonass",19,20790595.4902952,2.56,111215704.815194,0.016,-2225.934,1.024,45,0
"237",126644.299999971,"GPS",14,22648263.5240116,40.96,119017427.708115,0.06,1602.471,16.384,21,1
"238",126644.299999971,"GPS",6,22844211.8096078,5.12,120047164.403419,0.016,1125.115,2.048,46,1
"239",126644.299999971,"Glonass",9,21644133.7371557,10.24,115416022.869182,0.028,-2947.36,4.096,46,0
"240",126644.299999971,"GPS",24,21266296.2130887,10.24,111755129.734338,0.028,-2228.337,4.096,45,1
"241",126644.299999971,"GPS",17,25080070.7953261,10.24,131796660.887556,0.06,-3109.195,4.096,34,1
"242",126644.299999971,"GPS",2,23475981.5256055,5.12,123367104.202071,0.024,2837.841,2.048,41,0
"243",126644.299999971,"GPS",25,21242956.4421606,20.48,111632488.950771,0.06,2499.133,8.192,22,1
"244",126644.299999971,"GPS",29,23854387.5908542,0.64,125355657.684501,0.004,4081.5,0.256,45,0
"245",126644.299999971,"SBAS",120,39064411.2395725,0.64,205284861.389084,0.004,292.6035,0.256,39,1
"246",126644.499999971,"GPS",12,19834471.9679503,0.32,104230842.077723,0.004,220.6196,0.128,50,0
"247",126644.499999971,"Glonass",20,19783473.3546766,1.28,105791130.980234,0.008,2212.925,0.512,45,0
"248",126644.499999971,"Glonass",2,22692214.628348,20.48,121090004.666467,0.06,1284.212,8.192,31,1
"249",126644.499999971,"GPS",19,22637375.3952146,1.28,118960201.372763,0.012,-2780.143,0.512,43,0
"250",126644.499999971,"GPS",32,22233754.4502532,20.48,116839168.174396,0.06,640.8203,8.192,24,1
"251",126644.499999971,"Glonass",10,19093205.3944643,0.64,101777581.529325,0.004,101.0713,0.256,45,0
"252",126644.499999971,"Glonass",21,22681200.2786884,20.48,121371726.342291,0.06,4779.297,8.192,38,0
"253",126644.499999971,"Glonass",19,20790676.8213975,2.56,111216150.015624,0.012,-2228.394,1.024,47,0
"254",126644.499999971,"GPS",14,22648204.5248254,40.96,119017117.2147,0.06,1602.471,16.384,21,1
"255",126644.499999971,"GPS",6,22844180.0807494,5.12,120046939.280732,0.012,1126.383,1.024,47,0
"256",126644.499999971,"Glonass",9,21644244.3235481,5.12,115416612.665573,0.02,-2949.314,2.048,50,0
"257",126644.499999971,"GPS",24,21266375.1622363,10.24,111755575.437833,0.024,-2227.962,4.096,36,1
"258",126644.499999971,"GPS",17,25080190.1068273,10.24,131797287.744807,0.06,-3103.906,4.096,31,1
"259",126644.499999971,"GPS",2,23475881.1388654,5.12,123366587.907397,0.028,2834.671,2.048,38,0
